"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType","weekNumber","Avg.Pace"
"44",702364020,"ML Run","Brooks Ghost Red/Black",2016-09-06,"Sep",9,"Tue","5:17",15.01,2017-03-29 01:53:30,3.5478,181.4,524,143,157,1499,"Run",8,2017-03-29 00:07:34
"47",703508196,"GA Run","Brooks Ghost Red/Black",2016-09-07,"Sep",9,"Wed","5:28",11,2017-03-29 01:24:17,3.5027,174.8,444,145,163,1149,"Run",8,2017-03-29 00:07:40
"41",704684351,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-08,"Sep",9,"Thu","5:22",6,2017-03-29 00:51:07,3.151,173.2,251,134,145,656,"Recovery Run",8,2017-03-29 00:08:31
"33",705852012,"Tempo Run","Hoka One One Clifton Reds",2016-09-09,"Sep",9,"Fri","5:32",12.01,2017-03-29 01:28:05,3.6563,145.2,488,150,168,1263,"Workout",8,2017-03-29 00:07:20
"34",707056625,"GA Run","Brooks Ghost Red/Black",2016-09-10,"Sep",9,"Sat","8:12",10.01,2017-03-29 01:21:27,3.2946,174.8,417,147,157,1085,"Run",8,2017-03-29 00:08:08
"37",708614645,"Long Run","Hoka One One Clifton Reds",2016-09-11,"Sep",9,"Sun","8:23",22,2017-03-29 02:46:01,3.5548,178.2,820,144,160,1944,"Long Run",8,2017-03-29 00:07:33
"99",710275319,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-12,"Sep",9,"Mon","6:37",3,2017-03-29 00:25:16,3.1861,168.4,NA,118,124,294,"Recovery Run",9,2017-03-29 00:08:25
"42",710645370,"ML Run","Brooks Ghost Red/Black",2016-09-13,"Sep",9,"Tue","5:11",15.01,2017-03-29 01:53:44,3.5398,166.8,522,143,156,1494,"Run",9,2017-03-29 00:07:35
"45",711828098,"GA Run","Brooks Ghost Red/Black",2016-09-14,"Sep",9,"Wed","5:28",11,2017-03-29 01:25:45,3.4423,181,425,139,178,1082,"Run",9,2017-03-29 00:07:48
"40",712947443,"Recovery Run","Brooks Ghost Red/Black",2016-09-15,"Sep",9,"Thu","5:15",6.01,2017-03-29 00:50:14,3.206,175.6,232,135,146,647,"Recovery Run",9,2017-03-29 00:08:22
"31",714102044,"ML Run","Brooks Ghost Red/Black",2016-09-16,"Sep",9,"Fri","5:14",14,2017-03-29 01:46:04,3.5415,172.2,502,148,160,1403,"Run",9,2017-03-29 00:07:34
"35",715326699,"GA Run","Brooks Ghost Red/Black",2016-09-17,"Sep",9,"Sat","8:49",10,2017-03-29 01:17:11,3.4763,176.4,396,147,158,1021,"Run",9,2017-03-29 00:07:43
"38",716838907,"Long Run","Hoka One One Clifton Reds",2016-09-18,"Sep",9,"Sun","9:12",20.01,2017-03-29 02:28:14,3.6199,164,763,145,162,1913,"Long Run",9,2017-03-29 00:07:25
"100",718149452,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-19,"Sep",9,"Mon","6:33",4.01,2017-03-29 00:33:49,2.9405,165.4,NA,119,128,359,"Recovery Run",10,2017-03-29 00:08:26
"43",718623269,"GA Run","Brooks Ghost Red/Black",2016-09-20,"Sep",9,"Tue","5:32",11.01,2017-03-29 01:25:22,3.4581,179.2,439,142,154,1133,"Run",10,2017-03-29 00:07:45
"46",719785645,"VO2 Run","Brooks Ghost Red/Black",2016-09-21,"Sep",9,"Wed","5:31",11,2017-03-29 01:23:42,3.5256,169.2,381,143,163,1156,"Workout",10,2017-03-29 00:07:37
"56",720873025,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-22,"Sep",9,"Thu","5:25",6.01,2017-03-29 00:50:08,3.218,174.8,238,133,145,630,"Recovery Run",10,2017-03-29 00:08:20
"49",721980758,"ML Run","Brooks Ghost Red/Black",2016-09-23,"Sep",9,"Fri","5:15",13.01,2017-03-29 01:37:17,3.5861,169.4,531,146,160,1278,"Run",10,2017-03-29 00:07:29
"55",724673407,"Long Run","Hoka One One Clifton Reds",2016-09-25,"Sep",9,"Sun","8:59",18,2017-03-29 02:10:33,3.6992,171,660,146,160,1683,"Long Run",10,2017-03-29 00:07:15
"103",725545972,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-26,"Sep",9,"Mon","6:33",4,2017-03-29 00:32:11,3.3364,168.2,NA,113,122,347,"Recovery Run",11,2017-03-29 00:08:02
"59",726493622,"GA Run","Brooks Ghost Red/Black",2016-09-27,"Sep",9,"Tue","5:27",11.01,2017-03-29 01:25:16,3.4628,177.8,468,139,154,1050,"Run",11,2017-03-29 00:07:45
"62",727632740,"LT Intervals Run","Brooks Ghost Red/Black",2016-09-28,"Sep",9,"Wed","5:28",12.01,2017-03-29 01:24:21,3.8194,147.8,476,148,162,1104,"Workout",11,2017-03-29 00:07:01
