,ID,Name,Gear,Date,Month,monthNum,DOW,StartTime,Distance,Time,Speed.mph,Cad,Elevation.Gain,Avg.HR,Max.HR,Calories,RunType,weekNumber,Avg.Pace,morningNightBucket
119,738343078,Tune-Up Run,Hoka One One Clifton Reds,10/8/2016,Oct,10,Sat,4/7/2017 10:33,9.33,4/7/2017 1:00,4.1107,139,257,157,169,939,Workout,12,4/7/2017 0:06,Morning
54,739595884,GA Run,Hoka One One Clifton Reds,10/9/2016,Oct,10,Sun,4/7/2017 11:28,8.01,4/7/2017 0:58,3.6931,185.4,333,142,156,824,Run,12,4/7/2017 0:07,Morning
51,740843285,Recovery Run,Brooks Ghost Red/Black,10/10/2016,Oct,10,Mon,4/7/2017 16:59,5.01,4/7/2017 0:38,3.4588,180.4,218,135,148,524,Recovery Run,13,4/7/2017 0:07,Evening
57,741252629,GA Run,Brooks Ghost Red/Black,10/11/2016,Oct,10,Tue,4/7/2017 5:15,11,4/7/2017 1:21,3.603,183.8,392,142,153,1092,Run,13,4/7/2017 0:07,Sunrise
60,742277705,ML Run,Hoka One One Clifton Reds,10/12/2016,Oct,10,Wed,4/7/2017 5:07,15,4/7/2017 1:48,3.709,166,491,144,157,1476,Run,13,4/7/2017 0:07,Sunrise
71,743815589,Recovery Run,Hoka One One Clifton Reds,10/13/2016,Oct,10,Thu,4/7/2017 16:42,5.01,4/7/2017 0:39,3.3665,178,210,131,147,530,Recovery Run,13,4/7/2017 0:07,Evening
63,744238980,LT Run,Brooks Ghost Red/Black,10/14/2016,Oct,10,Fri,4/7/2017 6:37,12.01,4/7/2017 1:24,3.8114,150,500,149,164,1210,Workout,13,4/7/2017 0:07,Sunrise
120,745317488,GA Run,Brooks Ghost Red/Black,10/15/2016,Oct,10,Sat,4/7/2017 8:01,9.01,4/7/2017 1:09,3.4788,181.2,223,137,151,899,Run,13,4/7/2017 0:07,Morning
121,747254894,Long Run,Brooks Ghost Red/Black,10/16/2016,Oct,10,Sun,4/7/2017 7:57,21,4/7/2017 2:29,3.7581,178.8,296,142,158,1908,Long Run,13,4/7/2017 0:07,Morning
106,748008001,Recovery Run,"ASICS dunno Black, Yellow, Red",10/17/2016,Oct,10,Mon,4/7/2017 17:49,1,4/7/2017 0:07,3.4875,172.6,0,117,127,88,Recovery Run,14,4/7/2017 0:07,Evening
73,748396540,GA Run,Hoka One One Clifton Reds,10/18/2016,Oct,10,Tue,4/7/2017 5:31,10,4/7/2017 1:15,3.5376,184.8,410,141,152,1027,Run,14,4/7/2017 0:07,Sunrise
75,749423177,VO2 Run,Hoka One One Clifton Reds,10/19/2016,Oct,10,Wed,4/7/2017 5:40,11.01,4/7/2017 1:20,3.6481,174.2,299,145,167,1155,Workout,14,4/7/2017 0:07,Sunrise
72,750939125,Recovery Run,Brooks Ghost Red/Black,10/20/2016,Oct,10,Thu,4/7/2017 16:53,6.01,4/7/2017 0:46,3.4378,180,238,135,151,626,Recovery Run,14,4/7/2017 0:07,Evening
64,751779730,Recovery Run,Hoka One One Clifton Reds,10/21/2016,Oct,10,Fri,4/7/2017 16:59,7,4/7/2017 0:56,3.3561,181,357,135,146,739,Recovery Run,14,4/7/2017 0:08,Evening
67,752514232,MP Long Run,Hoka One One Clifton Reds,10/22/2016,Oct,10,Sat,4/7/2017 8:55,20,4/7/2017 2:20,3.8132,136.6,705,143,157,1770,Long Run,14,4/7/2017 0:07,Morning
108,753826078,Recovery Run,"ASICS dunno Black, Yellow, Red",10/23/2016,Oct,10,Sun,4/7/2017 13:08,1,4/7/2017 0:07,3.4066,179,NA,119,128,95,Recovery Run,14,4/7/2017 0:07,Afternoon
66,754432028,GA Run,Brooks Ghost Red/Black,10/24/2016,Oct,10,Mon,4/7/2017 6:12,6.01,4/7/2017 0:45,3.5801,173.6,251,139,150,658,Run,15,4/7/2017 0:07,Sunrise
