Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,10/4/2016 5:39,FALSE,Chalfont Running,10,985,1:14:56,146,182,0,171,211,7:30,4:52,297,278,1.26,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/3/2016 5:58,FALSE,Running,2,180,16:09,115,122,0,168,175,8:04,7:29,--,--,1.19,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/2/2016 8:38,FALSE,Chalfont Running,24,"2,129",2:55:35,143,158,0,172,208,7:19,5:30,789,728,1.28,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/1/2016 12:51,FALSE,Chalfont Running,10,915,1:18:18,129,146,0,176,202,7:50,6:02,392,378,1.17,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/30/2016 5:04,FALSE,Chalfont Running,15.01,"1,486",1:51:04,142,157,0,169,195,7:24,5:29,550,490,1.29,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/29/2016 5:42,FALSE,Running,5,449,40:20:00,121,138,0,168,185,8:04,7:01,--,--,1.19,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/28/2016 5:28,FALSE,Chalfont Running,12.01,"1,104",1:24:21,148,162,0,147,205,7:01,5:18,476,430,1.56,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/27/2016 5:27,FALSE,Chalfont Running,11.01,"1,050",1:25:16,139,154,0,177,195,7:45,5:22,468,415,1.17,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/26/2016 6:33,FALSE,Running,4,347,32:11:00,113,122,0,168,175,8:02,7:22,--,--,1.19,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/25/2016 8:59,FALSE,Chalfont Running,18,"1,683",2:10:33,146,160,0,169,197,7:15,5:30,660,635,1.31,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/23/2016 5:15,FALSE,Chalfont Running,13.01,"1,278",1:37:17,146,160,0,169,204,7:29,5:00,531,479,1.27,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/22/2016 5:25,FALSE,Chalfont Running,6.01,630,50:08:00,133,145,0,175,188,8:20,6:30,238,194,1.11,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/21/2016 5:31,FALSE,Chalfont Running,11,"1,156",1:23:42,143,163,0,168,207,7:37,4:57,381,370,1.26,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/20/2016 5:32,FALSE,Chalfont Running,11.01,"1,133",1:25:22,142,154,0,179,203,7:45,5:21,439,387,1.16,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/19/2016 6:33,FALSE,Running,4.01,359,33:49:00,119,128,0,170,181,8:26,7:32,--,--,1.12,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/18/2016 9:12,FALSE,Chalfont Running,20.01,"1,913",2:28:14,145,162,0,160,227,7:25,5:04,763,739,1.36,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
