"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Avg.Speed.Avg.Pace.","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType"
"18",689501603,"ML Run","Hoka One One Clifton Reds",2016-08-26,"Aug","Aug","Fri","5:47",12,"1:32:36","7:43",3.4773,85.9,"467","122","158","1,389","Run"
"22",692241161,"Long Run","Hoka One One Clifton Reds",2016-08-28,"Aug","Aug","Sun","10:11",13,"1:44:47","8:04",3.3284,87.2,"517","141","154","1,322","Long Run"
"19",692987291,"Recovery Run","Brooks Ghost Red/Black",2016-08-29,"Aug","Aug","Mon","5:30",4,"33:33:00","8:23",3.2019,85.9,"151","126","136","416","Recovery Run"
"27",694152241,"Tempo Run","Hoka One One Clifton Reds",2016-08-30,"Aug","Aug","Tue","5:39",11,"1:18:07","7:06",3.7786,77.4,"452","149","166","1,090","Workout"
"30",695419431,"ML Run","Brooks Ghost Red/Black",2016-08-31,"Aug","Aug","Wed","5:22",15,"1:56:36","7:46",3.4519,87.3,"497","145","157","1,587","Run"
"32",698319096,"ML Run","Brooks Ghost Red/Black",2016-09-02,"Sep","Sep","Fri","17:07",13.01,"1:39:27","7:39",3.5101,87.8,"499","147","159","1,344","Run"
"36",699002887,"GA Run","Brooks Ghost Red/Black",2016-09-03,"Sep","Sep","Sat","8:49",10,"1:17:14","7:43",3.4736,90.4,"373","144","159","1,055","Run"
"39",700400489,"Long Run","Hoka One One Clifton Reds",2016-09-04,"Sep","Sep","Sun","8:26",20,"2:29:22","7:28",3.5918,85.5,"757","144","160","1,899","Long Run"
"44",702364020,"ML Run","Brooks Ghost Red/Black",2016-09-06,"Sep","Sep","Tue","5:17",15.01,"1:53:30","7:34",3.5478,90.7,"524","143","157","1,499","Run"
"47",703508196,"GA Run","Brooks Ghost Red/Black",2016-09-07,"Sep","Sep","Wed","5:28",11,"1:24:17","7:40",3.5027,87.4,"444","145","163","1,149","Run"
"41",704684351,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-08,"Sep","Sep","Thu","5:22",6,"51:07:00","8:31",3.151,86.6,"251","134","145","656","Recovery Run"
"33",705852012,"Tempo Run","Hoka One One Clifton Reds",2016-09-09,"Sep","Sep","Fri","5:32",12.01,"1:28:05","7:20",3.6563,72.6,"488","150","168","1,263","Workout"
"34",707056625,"GA Run","Brooks Ghost Red/Black",2016-09-10,"Sep","Sep","Sat","8:12",10.01,"1:21:27","8:08",3.2946,87.4,"417","147","157","1,085","Run"
"37",708614645,"Long Run","Hoka One One Clifton Reds",2016-09-11,"Sep","Sep","Sun","8:23",22,"2:46:01","7:33",3.5548,89.1,"820","144","160","1,944","Long Run"
"99",710275319,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-12,"Sep","Sep","Mon","6:37",3,"25:16:00","8:25",3.1861,84.2,"--","118","124","294","Recovery Run"
"42",710645370,"ML Run","Brooks Ghost Red/Black",2016-09-13,"Sep","Sep","Tue","5:11",15.01,"1:53:44","7:35",3.5398,83.4,"522","143","156","1,494","Run"
"45",711828098,"GA Run","Brooks Ghost Red/Black",2016-09-14,"Sep","Sep","Wed","5:28",11,"1:25:45","7:48",3.4423,90.5,"425","139","178","1,082","Run"
"40",712947443,"Recovery Run","Brooks Ghost Red/Black",2016-09-15,"Sep","Sep","Thu","5:15",6.01,"50:14:00","8:22",3.206,87.8,"232","135","146","647","Recovery Run"
"31",714102044,"ML Run","Brooks Ghost Red/Black",2016-09-16,"Sep","Sep","Fri","5:14",14,"1:46:04","7:34",3.5415,86.1,"502","148","160","1,403","Run"
"35",715326699,"GA Run","Brooks Ghost Red/Black",2016-09-17,"Sep","Sep","Sat","8:49",10,"1:17:11","7:43",3.4763,88.2,"396","147","158","1,021","Run"
"38",716838907,"Long Run","Hoka One One Clifton Reds",2016-09-18,"Sep","Sep","Sun","9:12",20.01,"2:28:14","7:25",3.6199,82,"763","145","162","1,913","Long Run"
"100",718149452,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-19,"Sep","Sep","Mon","6:33",4.01,"33:49:00","8:26",2.9405,82.7,"--","119","128","359","Recovery Run"
"43",718623269,"GA Run","Brooks Ghost Red/Black",2016-09-20,"Sep","Sep","Tue","5:32",11.01,"1:25:22","7:45",3.4581,89.6,"439","142","154","1,133","Run"
"46",719785645,"VO2 Run","Brooks Ghost Red/Black",2016-09-21,"Sep","Sep","Wed","5:31",11,"1:23:42","7:37",3.5256,84.6,"381","143","163","1,156","Workout"
"56",720873025,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-22,"Sep","Sep","Thu","5:25",6.01,"50:08:00","8:20",3.218,87.4,"238","133","145","630","Recovery Run"
"49",721980758,"ML Run","Brooks Ghost Red/Black",2016-09-23,"Sep","Sep","Fri","5:15",13.01,"1:37:17","7:29",3.5861,84.7,"531","146","160","1,278","Run"
