"","Name","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"47","Morning ga",2017-08-25,NA,6,25,"Friday","GA","Run","NA",2017-12-27 06:24:00,2017-12-27 01:02:59,8,NA,NA,NA,NA,2017-12-27 00:07:52,NA,107,NA,0
"48","rec week long run",2017-08-26,NA,6,26,"Saturday","Long","Long","NA",2017-12-27 08:53:00,2017-12-27 01:56:58,16,NA,NA,NA,NA,2017-12-27 00:07:19,NA,422,NA,0
"49","recovery to gen aer run",2017-08-27,NA,7,27,"Sunday","GA","Run","NA",2017-12-27 16:40:00,2017-12-27 01:36:14,11,NA,NA,NA,NA,2017-12-27 00:08:45,NA,176,NA,0
"50","evening tempo",2017-08-28,NA,7,28,"Monday","Workout","Workout","Tempo",2017-12-27 17:36:00,2017-12-27 01:27:22,12,NA,NA,NA,NA,2017-12-27 00:07:17,NA,NA,NA,0
"51","Morning ml",2017-08-29,NA,7,29,"Tuesday","ML","Run","NA",2017-12-27 05:44:00,2017-12-27 01:58:13,15,NA,NA,NA,NA,2017-12-27 00:07:53,NA,498,NA,0
"52","Afternoon Recovery",2017-08-30,NA,7,30,"Wednesday","Recovery","Recovery","NA",2017-12-27 17:20:00,2017-12-27 00:33:59,4,NA,NA,NA,NA,2017-12-27 00:08:30,NA,87,NA,0
"53","Morning Recovery",2017-08-30,NA,7,30,"Wednesday","Recovery","Recovery","NA",2017-12-27 06:01:00,2017-12-27 00:59:25,7,NA,NA,NA,NA,2017-12-27 00:08:29,NA,NA,NA,0
"54","evening ml",2017-08-31,NA,7,31,"Thursday","ML","Run","NA",2017-12-27 17:09:00,2017-12-27 01:49:31,14,NA,NA,NA,NA,2017-12-27 00:07:49,NA,NA,NA,0
"55","Afternoon GA",2017-09-01,NA,7,1,"Friday","GA","Run","NA",2017-12-27 13:02:00,2017-12-27 01:17:28,10,NA,NA,NA,NA,2017-12-27 00:07:45,NA,NA,NA,0
"56","Morning long run",2017-09-02,NA,7,2,"Saturday","Long","Long","NA",2017-12-27 08:30:00,2017-12-27 02:32:41,20,NA,NA,NA,NA,2017-12-27 00:07:38,NA,NA,NA,0
"57","evening recovery",2017-09-03,NA,8,3,"Sunday","Recovery","Recovery","NA",2017-12-27 17:49:00,2017-12-27 00:43:55,5,NA,NA,NA,NA,2017-12-27 00:08:47,NA,NA,NA,0
"58","Lunch Recovery",2017-09-03,NA,8,3,"Sunday","Recovery","Recovery","NA",2017-12-27 11:43:00,2017-12-27 00:51:55,6,NA,NA,NA,NA,2017-12-27 00:08:39,NA,NA,NA,0
"59","Evening Recovery",2017-09-04,NA,8,4,"Monday","Recovery","Recovery","NA",2017-12-27 18:13:00,2017-12-27 00:25:36,3,NA,NA,NA,NA,2017-12-27 00:08:32,NA,NA,NA,0
"60","Lunch ga",2017-09-04,NA,8,4,"Monday","GA","Run","NA",2017-12-27 12:18:00,2017-12-27 01:16:59,10,NA,NA,NA,NA,2017-12-27 00:07:42,NA,NA,NA,0
"61","mostly fasted ml run",2017-09-05,NA,8,5,"Tuesday","ML","Run","NA",2017-12-27 05:41:00,2017-12-27 01:58:56,15,NA,NA,NA,NA,2017-12-27 00:07:56,NA,NA,NA,0
"62","Afternoon Recovery",2017-09-06,NA,8,6,"Wednesday","Recovery","Recovery","NA",2017-12-27 17:41:00,2017-12-27 00:42:34,5,118,133,179,191,2017-12-27 00:08:30,2017-12-27 00:05:57,97,87,1.06
"63","finally got another watch + hrm morning recovery",2017-09-06,NA,8,6,"Wednesday","Recovery","Recovery","NA",2017-12-27 05:58:00,2017-12-27 00:52:10,6.01,121,132,181,188,2017-12-27 00:08:41,2017-12-27 00:05:27,110,110,1.03
"64","6 mi (2*3mi) tempo",2017-09-07,NA,8,7,"Thursday","Workout","Workout","Tempo",2017-12-27 16:56:00,2017-12-27 01:19:17,11,142,165,176,211,2017-12-27 00:07:12,2017-12-27 00:04:32,120,132,1.28
"65","treadmill recovery",2017-09-07,NA,8,7,"Thursday","Recovery","Recovery","NA",2017-12-27 11:41:00,2017-12-27 00:21:46,2.5,118,128,180,191,2017-12-27 00:08:43,2017-12-27 00:07:53,NA,NA,1.03
"66","Morning ga",2017-09-08,NA,8,8,"Friday","GA","Run","NA",2017-12-27 05:55:00,2017-12-27 01:18:12,10.01,137,146,182,197,2017-12-27 00:07:49,2017-12-27 00:04:52,91,101,1.13
"67","Lunch long run",2017-09-09,NA,8,9,"Saturday","Long","Long","NA",2017-12-27 11:42:00,2017-12-27 02:49:38,22.01,143,186,183,225,2017-12-27 00:07:42,2017-12-27 00:04:31,NA,NA,1.14
"68","Afternoon Recovery",2017-09-10,NA,9,10,"Sunday","Recovery","Recovery","NA",2017-12-27 16:45:00,2017-12-27 00:51:23,6,129,178,178,190,2017-12-27 00:08:34,2017-12-27 00:06:12,200,227,1.06
"69","Morning Recovery (too fast)",2017-09-10,NA,9,10,"Sunday","Recovery","Recovery","NA",2017-12-27 10:19:00,2017-12-27 00:49:19,6,134,191,179,234,2017-12-27 00:08:13,2017-12-27 00:04:29,261,243,1.09
"70","mental health jog",2017-09-11,NA,9,11,"Monday","Misc","Misc","NA",2017-12-27 17:48:00,NA,1,118,128,175,182,2017-12-27 00:08:12,2017-12-27 00:07:50,NA,NA,1.12
"71","evening ml",2017-09-12,NA,9,12,"Tuesday","ML","Long","NA",2017-12-27 17:02:00,2017-12-27 01:54:32,15.01,137,150,182,233,2017-12-27 00:07:38,2017-12-27 00:05:22,480,480,1.16
"72","definitely hurt quad yesterday",2017-09-13,NA,9,13,"Wednesday","Misc","Misc","NA",2017-12-27 06:30:00,NA,0.5,111,125,174,186,2017-12-27 00:09:13,2017-12-27 00:06:28,NA,14,1.01
"73","middle long cut short due to quad acting up again",2017-09-14,NA,9,14,"Thursday","GA","Run","NA",2017-12-27 17:25:00,2017-12-27 01:17:40,10.01,139,153,180,197,2017-12-27 00:07:46,2017-12-27 00:05:40,208,270,1.15
"74","finally able to run again GA",2017-09-18,NA,10,18,"Monday","GA","Run","NA",2017-12-27 17:22:00,2017-12-27 01:27:25,11.01,137,146,180,190,2017-12-27 00:07:56,2017-12-27 00:01:57,146,156,1.13
"75","VO2 Max",2017-09-19,NA,10,19,"Tuesday","Workout","Workout","vO2 Max",2017-12-27 17:21:00,2017-12-27 01:18:14,10.01,137,169,181,232,2017-12-27 00:07:49,2017-12-27 00:04:59,112,112,1.13
"76","evening recovery",2017-09-20,NA,10,20,"Wednesday","Recovery","Recovery","NA",2017-12-27 17:32:00,2017-12-27 00:44:19,5.01,126,139,178,188,2017-12-27 00:08:51,2017-12-27 00:07:01,106,102,1.02
"77","Morning Recovery",2017-09-20,NA,10,20,"Wednesday","Recovery","Recovery","NA",2017-12-27 06:32:00,2017-12-27 00:50:33,6.01,129,145,180,189,2017-12-27 00:08:25,2017-12-27 00:03:51,102,114,1.06
"78","Afternoon ml",2017-09-21,NA,10,21,"Thursday","ML","Run","NA",2017-12-27 17:09:00,2017-12-27 01:41:29,13.01,141,152,181,227,2017-12-27 00:07:48,2017-12-27 00:03:05,383,383,1.14
"79","Morning Recovery",2017-09-21,NA,10,21,"Thursday","Recovery","Recovery","NA",2017-12-27 06:48:00,2017-12-27 00:35:04,4.01,123,137,179,188,2017-12-27 00:08:45,2017-12-27 00:03:09,99,92,1.03
"80","GA w/ speed",2017-09-22,NA,10,22,"Friday","GA","Run","NA",2017-12-27 06:23:00,2017-12-27 01:19:27,10,140,163,181,210,2017-12-27 00:07:57,2017-12-27 00:05:10,90,101,1.12
"81","Morning Run",2017-09-23,NA,10,23,"Saturday","Long","Long","NA",2017-12-27 08:44:00,2017-12-27 02:25:24,20.01,150,187,185,217,2017-12-27 00:07:16,2017-12-27 00:03:30,669,670,1.2
"82","Morning Run",2017-09-24,NA,11,24,"Sunday","Recovery","Recovery","NA",2017-12-27 10:45:00,2017-12-27 00:53:36,6,123,135,177,186,2017-12-27 00:08:56,2017-12-27 00:05:20,89,102,1.02
"83","evening GA w/ strides",2017-09-25,NA,11,25,"Monday","GA","Run","NA",2017-12-27 17:31:00,2017-12-27 01:19:29,10.01,135,154,180,215,2017-12-27 00:07:57,2017-12-27 00:03:36,134,146,1.13
"84","Lunch treadmill recovery",2017-09-25,NA,11,25,"Monday","Recovery","Recovery","NA",2017-12-27 11:41:00,2017-12-27 00:33:27,4.01,121,167,175,186,2017-12-27 00:08:21,2017-12-27 00:07:06,NA,NA,1.1
"85","Morning ml",2017-09-26,NA,11,26,"Tuesday","ML","Long","NA",2017-12-27 05:36:00,2017-12-27 01:54:06,15.01,136,147,180,197,2017-12-27 00:07:36,2017-12-27 00:02:57,489,489,1.17
"86","evening recovery",2017-09-27,NA,11,27,"Wednesday","Recovery","Recovery","NA",2017-12-27 17:19:00,2017-12-27 00:51:38,6,121,138,175,190,2017-12-27 00:08:36,2017-12-27 00:06:31,119,109,1.07
"87","Morning Recovery",2017-09-27,NA,11,27,"Wednesday","Recovery","Recovery","NA",2017-12-27 06:42:00,2017-12-27 00:51:51,6,121,133,175,206,2017-12-27 00:08:38,2017-12-27 00:02:38,93,106,1.07
"88","Afternoon tempo",2017-09-28,NA,11,28,"Thursday","Workout","Workout","Tempo",2017-12-27 17:20:00,2017-12-27 01:27:23,12.02,143,166,175,228,2017-12-27 00:07:16,2017-12-27 00:04:59,248,261,1.27
"89","Lunch treadmill recovery",2017-09-28,NA,11,28,"Thursday","Recovery","Recovery","NA",2017-12-27 11:45:00,2017-12-27 00:34:26,4,112,135,175,184,2017-12-27 00:08:36,2017-12-27 00:07:20,NA,NA,1.07
"90","Morning ga",2017-09-29,NA,11,29,"Friday","GA","Run","NA",2017-12-27 05:37:00,2017-12-27 01:19:43,10.01,137,195,180,189,2017-12-27 00:07:58,2017-12-27 00:01:50,134,134,1.13
"91","peak week long run",2017-09-30,NA,11,30,"Saturday","Long","Long","NA",2017-12-27 15:51:00,2017-12-27 03:03:35,24.01,136,184,182,231,2017-12-27 00:07:39,2017-12-27 00:03:53,754,754,1.16
"92","Afternoon Recovery",2017-10-01,NA,12,1,"Sunday","Recovery","Recovery","NA",2017-12-27 13:24:00,2017-12-27 00:50:57,6,121,159,177,188,2017-12-27 00:08:29,2017-12-27 00:06:13,98,112,1.07
"93","Morning treadmill recovery",2017-10-01,NA,12,1,"Sunday","Recovery","Recovery","NA",2017-12-27 09:42:00,2017-12-27 00:25:13,3,119,129,176,191,2017-12-27 00:08:24,2017-12-27 00:07:39,NA,NA,1.09
"94","Afternoon Run",2017-10-02,NA,12,2,"Monday","GA","Run","NA",2017-12-27 17:20:00,2017-12-27 01:02:50,8.01,133,148,180,197,2017-12-27 00:07:51,2017-12-27 00:04:26,122,115,1.14
"95","Afternoon v02",2017-10-03,NA,12,3,"Tuesday","Workout","Workout","vO2 Max",2017-12-27 17:22:00,2017-12-27 01:15:57,10.01,139,166,181,217,2017-12-27 00:07:35,2017-12-27 00:03:10,129,129,1.17
"96","Lunch Recovery with super inaccurate gps thanks to skyscrapers",2017-10-03,NA,12,3,"Tuesday","Recovery","Recovery","NA",2017-12-27 11:51:00,2017-12-27 00:28:34,4.01,114,125,174,188,2017-12-27 00:07:08,2017-12-27 00:00:34,78,88,1.3
"97","evening ml",2017-10-04,NA,12,4,"Wednesday","ML","Long","NA",2017-12-27 16:57:00,2017-12-27 01:55:45,15.01,137,148,180,193,2017-12-27 00:07:43,2017-12-27 00:03:09,487,487,1.16
"98","Lunch treadmill recovery",2017-10-04,NA,12,4,"Wednesday","Recovery","Recovery","NA",2017-12-27 11:46:00,2017-12-27 00:33:32,4,125,144,175,188,2017-12-27 00:08:22,2017-12-27 00:07:28,NA,NA,1.1
"99","Afternoon Run",2017-10-05,NA,12,5,"Thursday","Recovery","Recovery","NA",2017-12-27 17:23:00,2017-12-27 00:50:47,6,123,133,178,188,2017-12-27 00:08:28,2017-12-27 00:06:06,98,110,1.07
"100","Morning Recovery",2017-10-05,NA,12,5,"Thursday","Recovery","Recovery","NA",2017-12-27 06:56:00,2017-12-27 00:42:20,5,128,143,177,188,2017-12-27 00:08:28,2017-12-27 00:05:30,114,114,1.07
"101","Afternoon Recovery",2017-10-06,NA,12,6,"Friday","Recovery","Recovery","NA",2017-12-27 17:36:00,2017-12-27 00:49:45,6,127,143,177,209,2017-12-27 00:08:17,2017-12-27 00:03:23,103,94,1.1
"102","Morning Recovery",2017-10-07,NA,12,7,"Saturday","Recovery","Recovery","NA",2017-12-27 08:23:00,2017-12-27 00:24:39,3,126,138,178,192,2017-12-27 00:08:13,2017-12-27 00:05:01,141,130,1.1
"103","cool down",2017-10-09,NA,13,9,"Monday","Misc","Misc","NA",2017-12-27 19:30:00,2017-12-27 00:25:30,3,NA,NA,NA,NA,2017-12-27 00:08:30,NA,NA,NA,0
"104","attempt at tune up half marathon (treadmill)",2017-10-09,NA,13,9,"Monday","Workout","Workout","Marathon Pace",2017-12-27 17:40:00,2017-12-27 01:31:30,13.13,NA,NA,NA,NA,2017-12-27 00:06:58,NA,NA,NA,0
"105","Afternoon warm up",2017-10-09,NA,13,9,"Monday","Misc","Misc","NA",2017-12-27 17:30:00,NA,1,122,131,176,182,2017-12-27 00:08:30,2017-12-27 00:07:54,NA,NA,1.07
"106","Lunch treadmill recovery",2017-10-09,NA,13,9,"Monday","Recovery","Recovery","NA",2017-12-27 11:47:00,2017-12-27 00:33:38,4,124,140,177,186,2017-12-27 00:08:24,2017-12-27 00:07:18,NA,NA,1.08
"107","Evening Recovery",2017-10-10,NA,13,10,"Tuesday","Recovery","Recovery","NA",2017-12-27 18:12:00,2017-12-27 00:52:08,6.01,126,137,179,192,2017-12-27 00:08:40,2017-12-27 00:06:04,118,110,1.04
"108","Lunch recovery",2017-10-10,NA,13,10,"Tuesday","Recovery","Recovery","NA",2017-12-27 12:07:00,2017-12-27 00:50:07,6.01,121,163,177,187,2017-12-27 00:08:20,2017-12-27 00:02:37,102,105,1.09
"109","very easy ml",2017-10-11,NA,13,11,"Wednesday","ML","Run","NA",2017-12-27 17:27:00,2017-12-27 02:07:42,15,127,145,178,188,2017-12-27 00:08:31,2017-12-27 00:05:15,472,470,1.06
"110","Lunch treadmill recovery",2017-10-11,NA,13,11,"Wednesday","Recovery","Recovery","NA",2017-12-27 11:45:00,2017-12-27 00:33:37,4.01,130,173,178,187,2017-12-27 00:08:23,2017-12-27 00:07:04,NA,NA,1.08
"111","Afternoon Recovery",2017-10-12,NA,13,12,"Thursday","Recovery","Recovery","NA",2017-12-27 17:38:00,2017-12-27 00:51:24,6.01,123,137,179,190,2017-12-27 00:08:34,2017-12-27 00:06:41,115,105,1.05
"112","lunch Recovery",2017-10-12,NA,13,12,"Thursday","Recovery","Recovery","NA",2017-12-27 12:14:00,2017-12-27 00:43:10,5.01,130,188,171,206,2017-12-27 00:08:37,2017-12-27 00:01:36,97,90,1.09
"113","evening ga",2017-10-13,NA,13,13,"Friday","GA","Run","NA",2017-12-27 17:26:00,2017-12-27 01:37:38,12.01,129,159,177,204,2017-12-27 00:08:08,2017-12-27 00:05:42,366,366,1.12
"114","Lunch Long run",2017-10-14,NA,13,14,"Saturday","Long","Long","NA",2017-12-27 11:51:00,2017-12-27 02:44:32,22.01,141,166,182,241,2017-12-27 00:07:29,2017-12-27 00:05:02,NA,NA,1.18
"115","Afternoon Recovery",2017-10-15,NA,14,15,"Sunday","Recovery","Recovery","NA",2017-12-27 15:59:00,NA,1,121,131,176,187,2017-12-27 00:08:56,2017-12-27 00:06:35,80,NA,1.02
"116","Afternoon Recovery",2017-10-15,NA,14,15,"Sunday","Recovery","Recovery","NA",2017-12-27 15:11:00,2017-12-27 00:34:18,4,114,128,175,192,2017-12-27 00:08:34,2017-12-27 00:06:04,21,104,1.09
"117","Morning Recovery",2017-10-15,NA,14,15,"Sunday","Recovery","Recovery","NA",2017-12-27 08:57:00,2017-12-27 00:51:43,6.01,122,137,177,188,2017-12-27 00:08:37,2017-12-27 00:05:21,124,116,1.06
"118","Afternoon V02",2017-10-16,NA,14,16,"Monday","Workout","Workout","vO2 Max",2017-12-27 17:34:00,2017-12-27 01:15:34,10,135,165,181,211,2017-12-27 00:07:33,2017-12-27 00:04:23,132,132,1.18
"119","Lunch Recovery",2017-10-16,NA,14,16,"Monday","Recovery","Recovery","NA",2017-12-27 11:57:00,2017-12-27 00:34:04,4.01,116,130,174,243,2017-12-27 00:08:30,2017-12-27 00:02:41,95,99,1.09
"120","Lunch Recover",2017-10-17,NA,14,17,"Tuesday","Recovery","Recovery","NA",2017-12-27 12:17:00,2017-12-27 00:31:16,4,117,132,175,187,2017-12-27 00:07:49,2017-12-27 00:00:30,82,89,1.18
