"","ID","Name","Gear","Date","Month","DOW","StartTime","Distance","Time","Avg.Pace","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType"
"92",770952070,"Recovery Run","Brooks Ghost Red/Black",2016-11-09,"Nov","Wed","16:32",6.01,2017-03-18 00:45:30,2017-03-18 00:07:35,3.5395,175.4,241,135,160,653,"Recovery Run"
"112",772172120,"Recovery Run","Hoka One One Clifton Reds",2016-11-10,"Nov","Thu","17:15",5,2017-03-18 00:37:11,2017-03-18 00:07:26,2.7808,176.8,NA,121,138,376,"Recovery Run"
"77",772172603,"VO2 Run","Hoka One One Clifton Reds",2016-11-11,"Nov","Fri","5:55",8.01,2017-03-18 00:57:19,2017-03-18 00:07:09,3.7486,186.4,280,148,167,852,"Workout"
"80",773462012,"GA Run","Saucony Fastwitch Reds",2016-11-12,"Nov","Sat","12:47",7,2017-03-18 00:49:54,2017-03-18 00:07:08,3.7643,185,254,144,154,736,"Run"
"83",774553806,"ML Run","Brooks Ghost Red/Black",2016-11-13,"Nov","Sun","10:42",12,2017-03-18 01:24:46,2017-03-18 00:07:04,3.798,187.2,467,145,158,1246,"Run"
"110",775641778,"Recovery Run","Brooks Ghost Red/Black",2016-11-14,"Nov","Mon","17:11",2.06,2017-03-18 00:16:19,2017-03-18 00:07:55,3.1705,171.2,NA,70,118,64,"Recovery Run"
"88",776017804,"GA Run","Saucony Fastwitch Reds",2016-11-15,"Nov","Tue","5:55",8,2017-03-18 00:58:14,2017-03-18 00:07:17,3.6864,187,334,145,162,853,"Run"
"90",777267101,"Recovery Run","Hoka One One Clifton Reds",2016-11-16,"Nov","Wed","12:07",5.01,2017-03-18 00:38:49,2017-03-18 00:07:45,3.4613,180.4,140,135,164,536,"Recovery Run"
"85",777917114,"GA Run","Hoka One One Clifton Reds",2016-11-17,"Nov","Thu","6:01",7,2017-03-18 00:50:42,2017-03-18 00:07:14,3.7048,185.6,276,145,195,762,"Run"
"78",779226144,"Recovery Run","Hoka One One Clifton Reds",2016-11-18,"Nov","Fri","17:22",5,2017-03-18 00:42:10,2017-03-18 00:08:26,3.182,174.6,238,133,148,554,"Recovery Run"
"81",780934297,"Recovery Run","Hoka One One Clifton Reds",2016-11-19,"Nov","Sat","16:48",3,2017-03-18 00:25:16,2017-03-18 00:08:25,3.1894,175.2,145,124,144,329,"Recovery Run"
"122",780935487,"Oh My God So Freakin Windy Philly Marathon","Saucony Fastwitch Reds",2016-11-20,"Nov","Sun","7:00",26.27,2017-03-18 03:07:15,2017-03-18 00:07:08,3.8383,186.2,529,151,200,2113,"Race"
