"","Name","Marathon","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"39","GA Run","ph16",2016-09-03,"Sep",8,3,"Saturday","GA","Run","NA",2017-12-30 08:49:00,2017-12-30 01:17:14,10,144,159,181,237,2017-12-30 00:07:43,2017-12-30 00:05:54,373,333,1.15
"40","Long Run","ph16",2016-09-04,"Sep",8,4,"Sunday","Long","Long","NA",2017-12-30 08:26:00,2017-12-30 02:29:22,20,144,160,170,202,2017-12-30 00:07:28,2017-12-30 00:05:22,757,715,1.27
"41","Middle Long Run","ph16",2016-09-06,"Sep",8,6,"Tuesday","ML","Long","NA",2017-12-30 05:17:00,2017-12-30 01:53:30,15.01,143,157,180,201,2017-12-30 00:07:34,2017-12-30 00:05:38,524,471,1.18
"42","GA Run","ph16",2016-09-07,"Sep",8,7,"Wednesday","GA","Run","NA",2017-12-30 05:28:00,2017-12-30 01:24:17,11,145,163,175,204,2017-12-30 00:07:40,2017-12-30 00:04:47,444,393,1.2
"43","Recovery Run","ph16",2016-09-08,"Sep",8,8,"Thursday","Recovery","Recovery","NA",2017-12-30 05:22:00,2017-12-30 00:51:07,6,134,145,174,185,2017-12-30 00:08:31,2017-12-30 00:07:18,251,226,1.09
"44","Tempo Run","ph16",2016-09-09,"Sep",9,9,"Friday","Workout","Workout","Tempo",2017-12-30 05:32:00,2017-12-30 01:28:05,12.01,150,168,144,195,2017-12-30 00:07:20,2017-12-30 00:05:23,488,468,1.53
"45","GA Run","ph16",2016-09-10,"Sep",9,10,"Saturday","GA","Run","NA",2017-12-30 08:12:00,2017-12-30 01:21:27,10.01,147,157,174,190,2017-12-30 00:08:08,2017-12-30 00:06:27,417,387,1.14
"46","Long Run","ph16",2016-09-11,"Sep",9,11,"Sunday","Long","Long","NA",2017-12-30 08:23:00,2017-12-30 02:46:01,22,144,160,176,202,2017-12-30 00:07:33,2017-12-30 00:03:16,820,774,1.21
"47","Recovery Run","ph16",2016-09-12,"Sep",9,12,"Monday","Recovery","Recovery","NA",2017-12-30 06:37:00,2017-12-30 00:25:16,3,118,124,169,175,2017-12-30 00:08:25,2017-12-30 00:07:44,NA,NA,1.13
"48","Middle Long Run","ph16",2016-09-13,"Sep",9,13,"Tuesday","ML","Long","NA",2017-12-30 05:11:00,2017-12-30 01:53:44,15.01,143,156,165,195,2017-12-30 00:07:35,2017-12-30 00:05:46,522,498,1.29
"49","GA Run","ph16",2016-09-14,"Sep",9,14,"Wednesday","GA","Run","NA",2017-12-30 05:28:00,2017-12-30 01:25:45,11,139,178,181,198,2017-12-30 00:07:48,2017-12-30 00:06:18,425,362,1.14
"50","Recovery Run","ph16",2016-09-15,"Sep",9,15,"Thursday","Recovery","Recovery","NA",2017-12-30 05:15:00,2017-12-30 00:50:14,6.01,135,146,176,189,2017-12-30 00:08:22,2017-12-30 00:07:33,232,192,1.09
"51","Middle Long Run","ph16",2016-09-16,"Sep",10,16,"Friday","ML","Run","NA",2017-12-30 05:14:00,2017-12-30 01:46:04,14,148,160,171,193,2017-12-30 00:07:34,2017-12-30 00:06:11,502,456,1.25
